Country,State,Year,AvgTemperature
Algeria,,2018,58.1
Algeria,,2019,50.6
Algeria,,2020,46.3
Benin,,2018,81.3
Benin,,2019,84.7
Benin,,2020,81.8
Central African Republic,,2018,75.7
Central African Republic,,2019,78.3
Central African Republic,,2020,80.9
Congo,,2018,75.9
Congo,,2019,79.4
Congo,,2020,77.2
Egypt,,2018,58.9
Egypt,,2019,57.9
Egypt,,2020,57.1
Ethiopia,,2018,62.3
Ethiopia,,2019,58.6
Ethiopia,,2020,61.9
Gabon,,2018,77.1
Gabon,,2019,81.7
Gabon,,2020,83.9
Gambia,,2018,78
Gambia,,2019,78.8
Gambia,,2020,76.9
Guinea,,2018,83.4
Guinea,,2019,84.6
Guinea,,2020,83.5
Guinea-Bissau,,2018,79.1
Guinea-Bissau,,2019,83.2
Guinea-Bissau,,2020,79.7
Ivory Coast,,2018,82.3
Ivory Coast,,2019,83.5
Ivory Coast,,2020,81.9
Kenya,,2018,71.5
Kenya,,2019,67.6
Kenya,,2020,68.5
Morocco,,2018,54.2
Morocco,,2019,50.6
Morocco,,2020,51
Madagascar,,2018,69.8
Madagascar,,2019,71.6
Madagascar,,2020,69.8
Mauritania,,2018,77.9
Mozambique,,2018,78.4
Mozambique,,2019,82.7
Mozambique,,2020,80.5
Namibia,,2018,77
Namibia,,2019,76.3
Namibia,,2020,76
Nigeria,,2018,74.3
Nigeria,,2019,76.2
Nigeria,,2020,73.2
Nigeria,,2018,78.8
Nigeria,,2019,84.9
Nigeria,,2020,79.6
Senegal,,2018,71.5
Senegal,,2019,74
Senegal,,2020,76.4
South Africa,,2018,64.4
South Africa,,2019,70.5
South Africa,,2020,70
Togo,,2018,80.4
Togo,,2019,85.2
Togo,,2020,80.9
Tunisia,,2018,56.7
Tunisia,,2019,56.4
Tunisia,,2020,51
Tanzania,,2018,83
Tanzania,,2019,81
Tanzania,,2020,84.5
Uganda,,2018,71.8
Uganda,,2019,72.9
Uganda,,2020,74.8
China,,2018,26.7
China,,2019,22.7
China,,2020,20.3
China,,2018,46.2
China,,2019,40.8
China,,2020,48
China,,2018,63.1
China,,2019,48.4
China,,2020,63
China,,2018,48.4
China,,2019,37.8
China,,2020,47.3
China,,2018,13.6
China,,2019,4.3
China,,2020,6.6
Hong Kong,,2018,64.1
Hong Kong,,2019,55.3
Hong Kong,,2020,65.7
India,,2018,77.2
India,,2019,76.7
India,,2020,74
India,,2018,65.8
India,,2019,62.8
India,,2020,64.5
India,,2018,79.1
India,,2019,74.9
India,,2020,78.2
India,,2018,53.9
India,,2019,55
India,,2020,51.5
Indonesia,,2018,84.1
Indonesia,,2019,79.4
Indonesia,,2020,80
Japan,,2018,43.7
Japan,,2019,43
Japan,,2020,44.6
Japan,,2018,35.5
Japan,,2019,23.8
Japan,,2020,21.9
Japan,,2018,46.8
Japan,,2019,45.1
Japan,,2020,44.4
Kazakhstan,,2018,18.3
Kazakhstan,,2019,23.7
Kazakhstan,,2020,29.1
Kyrgyzstan,,2018,21
Kyrgyzstan,,2019,26.2
Kyrgyzstan,,2020,33.8
Laos,,2018,72.6
Laos,,2019,69.7
Laos,,2020,79.7
Malaysia,,2018,77.8
Malaysia,,2019,81.3
Malaysia,,2020,84.8
Mongolia,,2018,-12.4
Mongolia,,2019,-12.6
Mongolia,,2020,-10.2
Myanmar (Burma),,2018,79.9
Myanmar (Burma),,2019,78.2
Myanmar (Burma),,2020,77.8
Nepal,,2018,51.2
Nepal,,2019,47.7
Nepal,,2020,48.9
North Korea,,2018,22.7
North Korea,,2019,16.3
North Korea,,2020,22.8
Pakistan,,2018,51.6
Pakistan,,2019,50.8
Pakistan,,2020,50.1
Pakistan,,2018,64.1
Pakistan,,2019,67.8
Pakistan,,2020,59.3
Philippines,,2018,80.4
Philippines,,2019,79.1
Philippines,,2020,80.2
Singapore,,2018,76.9
Singapore,,2019,83.6
Singapore,,2020,82.4
South Korea,,2018,27.7
South Korea,,2019,19.9
South Korea,,2020,32
Sri Lanka,,2018,79.8
Sri Lanka,,2019,79.1
Sri Lanka,,2020,81
Taiwan,,2018,64.2
Taiwan,,2019,61.6
Taiwan,,2020,61.9
Tajikistan,,2018,44.2
Tajikistan,,2019,40.9
Tajikistan,,2020,41.9
Turkmenistan,,2018,52
Turkmenistan,,2019,38.8
Turkmenistan,,2020,45.2
Uzbekistan,,2018,41.3
Uzbekistan,,2019,33.8
Uzbekistan,,2020,34.8
Vietnam,,2018,63.9
Vietnam,,2019,53.3
Vietnam,,2020,70.5
Australia,,2018,79.6
Australia,,2019,78.2
Australia,,2020,78.1
Australia,,2018,69.3
Australia,,2019,79.9
Australia,,2020,68.6
Australia,,2018,73.3
Australia,,2019,79.2
Australia,,2020,71.6
Australia,,2018,78.5
Australia,,2019,75.4
Australia,,2020,74.3
Australia,,2018,66.7
Australia,,2019,68.9
Australia,,2020,65.3
New Zealand,,2018,69
New Zealand,,2019,69.3
New Zealand,,2020,64.8
Albania,,2018,43.8
Albania,,2019,43
Albania,,2020,40.8
Austria,,2018,38.7
Austria,,2019,41.4
Austria,,2020,37.8
Belarus,,2018,35.1
Belarus,,2019,32
Belarus,,2020,33.2
Belgium,,2018,43.1
Belgium,,2019,44.5
Belgium,,2020,35.4
Bulgaria,,2018,33.8
Bulgaria,,2019,30.4
Bulgaria,,2020,32.6
Croatia,,2018,49.3
Croatia,,2019,35.6
Croatia,,2020,33.2
Czech Republic,,2018,41.7
Czech Republic,,2019,41.4
Czech Republic,,2020,31.7
Denmark,,2018,42.6
Denmark,,2019,43.2
Denmark,,2020,38.2
Finland,,2018,33.2
Finland,,2019,35.7
Finland,,2020,34.2
France,,2018,46.7
France,,2019,46.8
France,,2020,35.9
France,,2018,49.7
France,,2019,43.3
France,,2020,49.8
Germany,,2018,40.8
Germany,,2018,40.8
Germany,,2019,39.4
Germany,,2019,39.4
Germany,,2020,32.8
Hungary,,2018,35.9
Hungary,,2019,31.6
Hungary,,2020,31.7
Iceland,,2018,23.2
Iceland,,2019,30.2
Iceland,,2020,35.8
Ireland,,2018,41.3
Ireland,,2019,45.4
Ireland,,2020,40
Italy,,2018,37.9
Italy,,2019,38.2
Italy,,2020,35.9
Italy,,2018,54.8
Italy,,2019,47.9
Italy,,2020,41.7
Latvia,,2018,38.7
Latvia,,2019,37.6
Latvia,,2020,37.3
Macedonia,,2018,30.8
Macedonia,,2019,36.8
Macedonia,,2020,36.8
The Netherlands,,2018,44.6
The Netherlands,,2019,46.3
The Netherlands,,2020,35.5
Norway,,2018,32.1
Norway,,2019,38.6
Norway,,2020,35.6
Poland,,2018,45.6
Poland,,2019,38.8
Poland,,2020,34.6
Portugal,,2018,53.6
Portugal,,2019,50
Portugal,,2020,46.3
Romania,,2018,38.2
Romania,,2019,32.2
Romania,,2020,35.6
Russia,,2018,31.7
Russia,,2019,24.3
Russia,,2020,29.2
Slovakia,,2018,37.6
Slovakia,,2019,38.7
Slovakia,,2020,37.4
Spain,,2018,55.9
Spain,,2019,49.6
Spain,,2020,46.3
Spain,,2018,53.4
Spain,,2019,41.3
Spain,,2020,45.2
Spain,,2018,45.7
Spain,,2019,37.9
Spain,,2020,37.9
Sweden,,2018,37.5
Sweden,,2019,38.8
Sweden,,2020,39.3
Switzerland,,2018,43
Switzerland,,2019,37.7
Switzerland,,2020,28.6
Switzerland,,2018,43.3
Switzerland,,2019,42.2
Switzerland,,2020,35
Switzerland,,2018,42.5
Switzerland,,2019,38.4
Switzerland,,2020,28.7
Ukraine,,2018,36
Ukraine,,2019,31.8
Ukraine,,2020,33.1
United Kingdom,,2018,41.3
United Kingdom,,2019,46
United Kingdom,,2020,43.3
United Kingdom,,2018,44
United Kingdom,,2019,47.3
United Kingdom,,2020,41.5
Yugoslavia,,2018,40.5
Yugoslavia,,2019,33.3
Yugoslavia,,2020,32.5
Bahrain,,2018,65.7
Bahrain,,2019,69.7
Bahrain,,2020,69.4
Jordan,,2018,46.8
Jordan,,2019,49.8
Jordan,,2020,46.8
Kuwait,,2018,63.7
Kuwait,,2019,56.7
Kuwait,,2020,57.1
Lebanon,,2018,57.6
Lebanon,,2019,60.3
Lebanon,,2020,57
